DATA_SET_NAME,Method,MAE,MSE,RMSE
D-dep-93,Naive Method,0.043173076923076925,0.002798631656804734,0.05290209501338047
D-dep_02,Naive Method,0.21,0.05205000000000002,0.22814469093099674
D-dep-91,Naive Method,0.05493333333333335,0.004714666666666667,0.06866343034444658
D-dep-95,Naive Method,0.10481012658227847,0.013260695401377977,0.11515509281563702
D-dep-78,Naive Method,0.065,0.0061998456790123445,0.07873909879476869
D-dep_09,Naive Method,0.13599999999999998,0.030488888888888885,0.17461067804945057
D-dep-94,Naive Method,0.0404424778761062,0.0025898660819171438,0.050890726875503986
D-dep-74,Naive Method,0.05833333333333332,0.005661865569272974,0.0752453690885557
D-dep_06,Naive Method,0.13014084507042256,0.022737552073001387,0.1507897611676648
D-dep_04,Naive Method,0.106875,0.0194140625,0.1393343550600497
D-dep_07,Naive Method,0.16814814814814816,0.03898491083676268,0.19744596941128648
D-dep-92,Naive Method,0.05261904761904761,0.003698034769463341,0.06081146906187468
D-dep-90,Naive Method,0.27949999999999997,0.09167500000000003,0.3027787971440537
D-dep_08,Naive Method,0.16631578947368422,0.040166204986149576,0.20041508173326072
D-dep-77,Naive Method,0.0904225352112676,0.012092838722475695,0.10996744392080637
D-dep-75,Naive Method,0.0706918238993711,0.00623393061983308,0.07895524440993822
