DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Prophet Method,0.19206208600817348,0.05976772778338399,0.244474390853897
D-ltc,Prophet Method,0.08165159271206543,0.010250378503645862,0.10124415293559358
D-ETC_USDT,Prophet Method,0.11899064976205238,0.022616597597216098,0.15038815643931572
D-TRX_USDT,Prophet Method,0.17217181036354817,0.04517192130489127,0.21253687045990696
D-bitcoin,Prophet Method,0.14908572782808005,0.02700579817064945,0.16433440957586895
D-eos,Prophet Method,0.05295263465075673,0.003815342327022591,0.06176845737933392
D-neo,Prophet Method,0.04966440264844284,0.0037535031720335498,0.06126584017242847
D-eth,Prophet Method,0.13421144142937813,0.01999302201409963,0.14139668317927273
D-link,Prophet Method,0.26098974287668214,0.07271782219088706,0.26966242265263257
D-bnb,Prophet Method,0.19718279528124374,0.0574349070045142,0.23965580945287807
D-ADA_USDT,Prophet Method,0.09120204433486084,0.01400175378937699,0.11832900654267739
D-xrp,Prophet Method,0.1646369730056746,0.0510457387959784,0.22593304051417182
D-XLM_USDT,Prophet Method,0.8062783096605637,0.8527426535063892,0.9234406605225857
