DATA_SET_NAME,Method,MAE,MSE,RMSE
D-spain_reservoir,Naive Method,0.059786096573985065,0.007239744936853135,0.08508669071513555
D_-_spain_fossilhardcoal,Naive Method,0.20487977296768548,0.062094279361172205,0.24918723755676614
D_-_spain_fossilbrowncoal,Naive Method,0.3823820684365279,0.18172257934754033,0.4262893141371718
D-spain_river,Naive Method,0.1465435172543036,0.029430600436599955,0.17155349147306784
D_-_spain_fossilgas,Naive Method,0.13097533806699732,0.02660149547836391,0.16309964892164516
D-spain_wind_onshore,Naive Method,0.10756701166589427,0.022363075726663417,0.1495428892547667
D-spain_solar,Naive Method,0.1521535489317488,0.04705880902084683,0.21693042437806373
D-spain_other,Naive Method,0.14627775153519137,0.042650502968858396,0.20651998200866278
D-spain_hydroconsump,Naive Method,0.06878296289988362,0.009327675418703307,0.09657989137860586
D-spain_other_ren,Naive Method,0.0935963687150838,0.014469600472831681,0.12028965239301209
D-spain_nuclear,Naive Method,0.12240314630107442,0.023293007925131483,0.15262047020348052
D_-_spain_biomass,Naive Method,0.06677289571201697,0.00794606303636921,0.08914069237093242
D-spain_waste,Naive Method,0.10530527048182287,0.018320999717981293,0.1353550875216048
D_-_spain_fossiloil,Naive Method,0.2894186599081261,0.10007297090033869,0.316343122100574
