DATA_SET_NAME,Method,MAE,MSE,RMSE
M-data_Bahamas,Naive Method,0.2463237045650457,0.08217828489861637,0.28666755117839265
M-data_British_Virgin_Island,Naive Method,0.34300197206188815,0.16196420880358298,0.40244777152269456
M-data_Bolivia,Naive Method,0.21510758178494777,0.08989068973469189,0.29981776087265394
M-data_Albania,Naive Method,0.24233597698182754,0.07472438517517102,0.2733576140793796
M-data_Baker_Island,Naive Method,0.0530195324117408,0.003955545857810602,0.06289313045007858
M-data_Algeria,Naive Method,0.3356764950831973,0.16747855186089872,0.40924143468238733
M-data_Andorra,Naive Method,0.37540550133096706,0.2030440794596454,0.45060412721106474
M-data_Azerbaijan,Naive Method,0.36806646138054916,0.21029394563987258,0.4585781783293581
M-data_Belgium,Naive Method,0.19330028640669752,0.04843161550742047,0.2200718416958891
M-data_Burma,Naive Method,0.2622486537055353,0.12364585764391445,0.35163312933214136
M-data_Afghanistan,Naive Method,0.3477085111571759,0.18995717233851084,0.43584076488840606
M-data_Cameroon,Naive Method,0.22475655970498526,0.06585273590746615,0.25661787916563056
M-data_Armenia,Naive Method,0.35178835335259245,0.18563848461826774,0.43085784734442023
M-data_Costa_Rica,Naive Method,0.22120237195604936,0.06228102265391253,0.24956166102571228
M-data_Benin,Naive Method,0.21997115780799345,0.08705887433829629,0.2950574085467035
M-data_Bosnia_H,Naive Method,0.1350623862560864,0.028009214407392714,0.16735953635031592
M-data_Botswana,Naive Method,0.22289599769703153,0.08046654722131656,0.2836662602801337
M-data_Antigua_Barbada,Naive Method,0.23052717331194358,0.09226963336678619,0.30375917001267005
M-data_Colombia,Naive Method,0.10449331675449482,0.017917739961325504,0.1338571625327741
