DATA_SET_NAME,Method,MAE,MSE,RMSE
D-R031,Prophet Method,0.10104445492448048,0.017245894591496277,0.13132362541255202
D-N02BE1,Prophet Method,0.11881789287318816,0.018905477464766937,0.13749719075227296
D-N02BE2,Prophet Method,0.05203814722093272,0.004013534020745906,0.06335245867956434
D-N02BA2,Prophet Method,0.12158126357861189,0.025849549573781716,0.16077795114312696
D-R032,Prophet Method,0.12762815192257632,0.024983364343051265,0.1580612676877269
D-N05B1,Prophet Method,0.15345033836110974,0.03513030244915978,0.18743079375908267
D-N02BA1,Prophet Method,0.11307348280748951,0.019722485151265033,0.14043676566791558
D-N05B2,Prophet Method,0.06252752867435149,0.005883247440535275,0.07670233008543662
