DATA_SET_NAME,Method,MAE,MSE,RMSE
D-spain_reservoir,Prophet Method,0.20222115811988986,0.05188731653275013,0.22778787617595045
D_-_spain_fossilhardcoal,Prophet Method,0.29012481258669487,0.10641543192247865,0.32621378254524847
D_-_spain_fossilbrowncoal,Prophet Method,0.21568602769975598,0.07787730695100681,0.27906505863509107
D-spain_river,Prophet Method,0.1266718517156327,0.035546100439554223,0.18853673498698928
D_-_spain_fossilgas,Prophet Method,0.10760915192340766,0.017213969261394933,0.13120201698676331
D-spain_wind_onshore,Prophet Method,0.11718591836849418,0.022248408376221645,0.14915900367132265
D-spain_solar,Prophet Method,0.16701459546485573,0.039160016265219894,0.1978888987922766
D-spain_other,Prophet Method,0.150425118542137,0.0452562171468628,0.21273508677898623
D-spain_hydroconsump,Prophet Method,0.06970449337518544,0.010844275052665133,0.10413584902743692
D-spain_other_ren,Prophet Method,0.11802629581439243,0.018673234840426343,0.13665004515340032
D-spain_nuclear,Prophet Method,0.11609121220909788,0.02293866004030395,0.1514551420068132
D_-_spain_biomass,Prophet Method,0.06888445440577577,0.009083963752110853,0.09530983030155311
D-spain_waste,Prophet Method,0.1458778045602994,0.030481306659279506,0.174588964884037
D_-_spain_fossiloil,Prophet Method,0.08858306354676124,0.012893006221974073,0.11354737435085882
