DATA_SET_NAME,MAE,MSE,RMSE
D-ZEC_USDT,0.11493332602192656,0.019630162343115584,0.14010768124237724
D-ltc,0.020970783036560338,0.0006698570843075934,0.02588159740641202
D-ETC_USDT,0.1525150523419489,0.05488281616547565,0.23427081799805038
D-TRX_USDT,0.1699106848163015,0.07819345769685841,0.27963093122338667
D-bitcoin,0.09826682032883058,0.015188124119930233,0.12324010759460668
D-eos,0.04865246535366312,0.004756736359850443,0.0689690971366919
D-neo,0.016147749420113173,0.0004514503653791551,0.02124736137451319
D-eth,0.030559235528514753,0.001300483286628136,0.03606221411156192
D-link,0.12722514623355644,0.021474174205509487,0.14654069129599973
D-bnb,0.08384154685243042,0.011228005104841765,0.10596228151961322
D-ADA_USDT,0.12915130716459386,0.03645703022736341,0.19093724159357547
D-xrp,0.18449465124616474,0.06246837354015798,0.24993673907642705
D-XLM_USDT,0.5981873683703397,0.5305190760549171,0.728367404580214
