DATA_SET_NAME,MAE,MSE,RMSE
D-ZEC_USDT,0.275236693921408,0.10271097455631768,0.3204855294023705
D-ltc,0.043645547729673245,0.0025323873470160505,0.05032283126987243
D-ETC_USDT,0.20551563540307968,0.0767948199206605,0.2771187830527922
D-TRX_USDT,0.284474277406585,0.16886845963915587,0.41093607731514137
D-bitcoin,0.16011496619744645,0.034720982179310085,0.18633567071097817
D-eos,0.03278074294760059,0.00315291755333003,0.056150846416862056
D-neo,0.02170522798646903,0.0009158433205533925,0.03026290337283243
D-eth,0.0503340906447493,0.0033158039586070488,0.05758301797064
D-link,0.11851165809707444,0.017921860580499476,0.13387255349958585
D-bnb,0.17004660879867692,0.03803796715739669,0.19503324628738736
D-ADA_USDT,0.23138218483518738,0.08684767273407795,0.29469929204882384
D-xrp,0.1338214766105974,0.0428597811920717,0.20702603988887894
D-XLM_USDT,0.526597732279936,0.4325610019743943,0.6576936992053324
