DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Naive Method,0.10871610311349178,0.018284776661370124,0.13522121379935223
D-ltc,Naive Method,0.020410767824790364,0.0006372450642601167,0.025243713361154232
D-ETC_USDT,Naive Method,0.1536650838163718,0.0555141192389478,0.23561434429793912
D-TRX_USDT,Naive Method,0.164141702921069,0.0714573046810572,0.26731499150077087
D-bitcoin,Naive Method,0.10118906999390136,0.016174130339685275,0.12717755438631959
D-eos,Naive Method,0.04729976942569497,0.0046255678247162976,0.06801152714589122
D-neo,Naive Method,0.015978987525918503,0.0004666421143232475,0.02160190071089226
D-eth,Naive Method,0.031165901075542745,0.001340474327631223,0.03661248868393438
D-link,Naive Method,0.12829652217333656,0.021854688719943897,0.1478333139719999
D-bnb,Naive Method,0.08436265193532082,0.011466078415354342,0.10707977593997077
D-ADA_USDT,Naive Method,0.12652454322527606,0.03567742311999819,0.18888468206818199
D-xrp,Naive Method,0.1396703163508545,0.04572183425550143,0.21382664533565837
D-XLM_USDT,Naive Method,0.5966444249038776,0.5286602756252415,0.7270902802439608
