DATA_SET_NAME,MAE,MSE,RMSE
D-ZEC_USDT,0.3347599175477921,0.12950669293296932,0.3598703835174122
D-ltc,0.054108285023487426,0.002986093536348002,0.05464516022803851
D-ETC_USDT,0.12706064141013323,0.017976134780679772,0.13407510872895004
D-TRX_USDT,0.11326029387457855,0.015150625688843743,0.12308787791185509
D-bitcoin,0.05625303272277484,0.004676399934004129,0.06838420822093452
D-eos,0.07424745279833608,0.005845932842059904,0.0764587002378402
D-neo,0.023103690071445884,0.0006243803726867913,0.024987604380708274
D-eth,0.006509215193665839,5.597451404760672e-05,0.007481611727937151
D-link,0.052981544390216115,0.003656055178078277,0.060465322111754906
D-bnb,0.25140867944738443,0.06478736602486587,0.2545336245466714
D-ADA_USDT,0.3357357257522424,0.14403688796187483,0.37952192026531856
D-xrp,0.21705334795291026,0.052501610820348876,0.2291322998190104
D-XLM_USDT,0.4881972007331491,0.2427692190108713,0.4927161647549949
