DATA_SET_NAME,Method,MAE,MSE,RMSE
D-spain_reservoir,Prophet Method,0.13565773344421533,0.02021084673305911,0.1421648575881505
D_-_spain_fossilhardcoal,Prophet Method,0.1408483968148166,0.023614482965704404,0.15367004576593452
D_-_spain_fossilbrowncoal,Prophet Method,0.1601510820099767,0.034351859324019324,0.1853425459089718
D-spain_river,Prophet Method,0.03386382258461824,0.0014698165236146543,0.038338186232719125
D_-_spain_fossilgas,Prophet Method,0.10493888816431654,0.016514123957680028,0.12850729145725556
D-spain_wind_onshore,Prophet Method,0.11055330335631904,0.018094622132663128,0.13451625229935277
D-spain_solar,Prophet Method,0.1299285588551286,0.020550548231463718,0.14335462403237545
D-spain_other,Prophet Method,0.06494841950735783,0.005353951748049763,0.07317070279865953
D-spain_hydroconsump,Prophet Method,0.057023075379406055,0.0038117389226555664,0.061739281844345795
D-spain_other_ren,Prophet Method,0.0625775366158949,0.004143428562258978,0.06436946917801155
D-spain_nuclear,Prophet Method,0.08721082311380776,0.01227870137509874,0.11080930184374749
D_-_spain_biomass,Prophet Method,0.09451563101378246,0.012205822792251363,0.11047996556956091
D-spain_waste,Prophet Method,0.13008486127759494,0.027738295461964844,0.16654817760025128
D_-_spain_fossiloil,Prophet Method,0.03821388782811554,0.001774143053461206,0.04212057755374689
