DATA_SET_NAME,MAE,MSE,RMSE
D-dep-93,0.05851160736525788,0.004542708239200816,0.06739961601671642
D-dep_02,0.0830925420053767,0.009502667345105076,0.09748162567943292
D-dep-91,0.03439400444246911,0.0018101316921304595,0.042545642457606156
D-dep-95,0.04063155461659289,0.00221283911672109,0.04704082393752357
D-dep-78,0.05656207724174669,0.0056107649411595625,0.07490503949107538
D-dep_09,0.10014509914815362,0.014941511057456317,0.12223547380959554
D-dep-94,0.022758181884771283,0.0008716038794257181,0.02952293819093415
D-dep-74,0.05524443116687152,0.005044327732986979,0.0710234308731068
D-dep_06,0.06514832115709226,0.007244613027503381,0.08511529255958286
D-dep_04,0.058443123414647566,0.004787159117550466,0.0691892991549305
D-dep_07,0.08566062864616046,0.012389449028716328,0.11130790191498682
D-dep-92,0.025328440434176813,0.0009540861793596621,0.03088828547135082
D-dep-90,0.1055482998070965,0.015517474753903462,0.12456915651116637
D-dep_08,0.15263157894736842,0.03265714271340244,0.18071287367922198
D-dep-77,0.047770231016251316,0.0047944042688488646,0.06924163681520581
D-dep-75,0.027510428251550895,0.0010220832542684603,0.031970036819942205
