DATA_SET_NAME,MAE,MSE,RMSE
D-R031,0.07273859612732939,0.008476004097600827,0.09206521654566847
D-N02BE1,0.15674530762324315,0.027412646435035465,0.16556764911973434
D-N02BE2,0.042606425044863575,0.0029222271027795916,0.05405762760961298
D-N02BA2,0.13646155362965257,0.02309906841979694,0.1519837768309399
D-R032,0.08695231508129621,0.009470070900640521,0.09731428929319949
D-N05B1,0.11262161487733183,0.018623943584743077,0.1364695701786412
D-N02BA1,0.10829762268722924,0.01403000714785923,0.11844833113159185
D-N05B2,0.04048897499799948,0.0023309438489246053,0.04827984930511492
