DATA_SET_NAME,Method,MAE,MSE,RMSE
M-data_Bahamas,Prophet Method,0.056865443367995816,0.005206652146916685,0.0721571351074631
M-data_British_Virgin_Island,Prophet Method,0.05723450740039766,0.004439759104896064,0.06663151735399746
M-data_Bolivia,Prophet Method,0.08478214191690037,0.014028003319743918,0.11843987217041362
M-data_Albania,Prophet Method,0.035043661111909236,0.0018424508589162474,0.042923779643878605
M-data_Baker_Island,Prophet Method,0.04734823089603633,0.0029793949438240634,0.05458383408871223
M-data_Algeria,Prophet Method,0.032566879627379156,0.0013758181104860947,0.037092022194618816
M-data_Andorra,Prophet Method,0.03962694284204496,0.0022479497515940435,0.04741254846128864
M-data_Azerbaijan,Prophet Method,0.028108969296386326,0.001198067154764404,0.03461310669044898
M-data_Belgium,Prophet Method,0.05747577837302379,0.005385565261214962,0.07338641060315569
M-data_Burma,Prophet Method,0.038334970820167416,0.0027662643067246457,0.052595287875670436
M-data_Afghanistan,Prophet Method,0.03848871383538503,0.0018394889104126888,0.04288926334658464
M-data_Cameroon,Prophet Method,0.07778527743251873,0.008164541887835145,0.09035785459955956
M-data_Armenia,Prophet Method,0.04407172947871345,0.0024827492997348214,0.04982719437952353
M-data_Costa_Rica,Prophet Method,0.1015418118175023,0.01430511408991643,0.11960398860371016
M-data_Benin,Prophet Method,0.06312839956001212,0.0045823566824722845,0.06769310660970056
M-data_Bosnia_H,Prophet Method,0.0175830698289378,0.0004122588191444852,0.020304157681235762
M-data_Botswana,Prophet Method,0.04116311516902117,0.002168751536192822,0.04656985651892028
M-data_Antigua_Barbada,Prophet Method,0.048141032104593154,0.003937415894544979,0.06274883181816997
M-data_Colombia,Prophet Method,0.07519199148580036,0.010030265954452363,0.10015121544171275
