DATA_SET_NAME,MAE,MSE,RMSE
D-R031,0.17974053033738382,0.04839561915089968,0.21999004329946317
D-N02BE1,0.16165652886806087,0.03530454482505565,0.18789503672278213
D-N02BE2,0.09113281816545715,0.013690754048788048,0.11700749569488293
D-N02BA2,0.16004703728318334,0.03817637242940463,0.19538774892353059
D-R032,0.1467803715597279,0.04247524270920058,0.20609522728389557
D-N05B1,0.11480119448333431,0.02559906076229736,0.15999706485525714
D-N02BA1,0.11706644493053417,0.0203516438057434,0.1426591875966753
D-N05B2,0.07345580540857088,0.008677554426965961,0.09315339192410527
