DATA_SET_NAME,MAE,MSE,RMSE
D-spain_reservoir,0.0927997532697967,0.011794311431761234,0.10860161799789741
D_-_spain_fossilhardcoal,0.19580912804296102,0.05282033061608875,0.22982674042871676
D_-_spain_fossilbrowncoal,0.26249413976985436,0.10933644048774113,0.33066061224122406
D-spain_river,0.16682596378473144,0.035767428660667094,0.18912278725914308
D_-_spain_fossilgas,0.17523698080276107,0.0466755803888811,0.216045320219812
D-spain_wind_onshore,0.14163365974794526,0.029945655633860577,0.17304813097476834
D-spain_solar,0.2650886637623323,0.08948243802182482,0.2991361529835951
D-spain_other,0.13094573631219444,0.04749076770854149,0.21792376581855752
D-spain_hydroconsump,0.14336342084526993,0.030481374214869385,0.17458915835431874
D-spain_other_ren,0.13101968731205477,0.026136188171095958,0.16166690499634104
D-spain_nuclear,0.14833329730800998,0.027433502307269646,0.16563062007753773
D_-_spain_biomass,0.11190182615333183,0.020853325875420846,0.1444068068874208
D-spain_waste,0.09106158569472057,0.01135852676438309,0.10657638933827272
D_-_spain_fossiloil,0.12503161294457554,0.02114605521131736,0.1454168326271665
