DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Naive Method,0.09430314697020423,0.014407224529707965,0.12003009843246804
D-ltc,Naive Method,0.08175907072197015,0.007277084959231181,0.08530583191805342
D-ETC_USDT,Naive Method,0.11722395958624011,0.027057256955397554,0.16449090234842034
D-TRX_USDT,Naive Method,0.13187569919204475,0.04243571813459175,0.20599931585952355
D-bitcoin,Naive Method,0.06819666067677421,0.007136018804972772,0.08447495963285671
D-eos,Naive Method,0.02949307896599219,0.0016664181283194248,0.04082178497223541
D-neo,Naive Method,0.020855943933367992,0.0005861031515741713,0.024209567356195595
D-eth,Naive Method,0.02546417113150918,0.0010611288655423478,0.032574972993731674
D-link,Naive Method,0.17454391374277364,0.05550010790735234,0.2355846088082843
D-bnb,Naive Method,0.12498602817809491,0.021322267683412305,0.14602146309160274
D-ADA_USDT,Naive Method,0.12267750074416363,0.02783853105650973,0.16684882695574976
D-xrp,Naive Method,0.1221300438077538,0.03320911231917856,0.18223367504163043
D-XLM_USDT,Naive Method,0.2982322109001879,0.23189352235930447,0.48155323938200695
