DATA_SET_NAME,MAE,MSE,RMSE
M-data_Bahamas,0.1614029688080169,0.037881031320612026,0.19463049946144625
M-data_British_Virgin_Island,0.08948004843979611,0.011682713103873279,0.10808660001995288
M-data_Bolivia,0.0971718785325858,0.0149219106102426,0.12215527254376947
M-data_Albania,0.09683257999282394,0.014530242443652405,0.12054145529091809
M-data_Baker_Island,0.051517817396982864,0.004298741383723561,0.06556478768152582
M-data_Algeria,0.17225439136604428,0.043358536912487596,0.2082271281857568
M-data_Andorra,0.06097298389626401,0.005434354484457517,0.07371807434040527
M-data_Azerbaijan,0.13300317114876672,0.02699317738182037,0.16429600537389938
M-data_Belgium,0.07580081103184995,0.009295398980192555,0.09641264948227776
M-data_Burma,0.2176978352407778,0.06207701403320586,0.24915259186531827
M-data_Afghanistan,0.16327648531300387,0.03889554270093029,0.19721952920775948
M-data_Cameroon,0.1673768413572231,0.04197484415193522,0.20487763214156693
M-data_Armenia,0.06864867881059131,0.007576637713500985,0.08704388383741264
M-data_Costa_Rica,0.10714072028655912,0.017788654156019063,0.13337411351540096
M-data_Benin,0.2593513190362782,0.08720208133563176,0.2952999853295488
M-data_Bosnia_H,0.030823328785291936,0.001554906358202509,0.03943230094988763
M-data_Botswana,0.21535734347034377,0.05902960586334952,0.24296009109182834
M-data_Antigua_Barbada,0.11556093186109964,0.02229321795108641,0.14930913552454322
M-data_Colombia,0.11863515770031352,0.025245105449535933,0.15888708396070442
