DATA_SET_NAME,MAE,MSE,RMSE
D-R031,0.19040615182810586,0.05259882383329329,0.22934433464398743
D-N02BE1,0.14490978058645956,0.028841820867034157,0.16982879869749465
D-N02BE2,0.091440291877357,0.01268810580907107,0.11264149239543601
D-N02BA2,0.12099690158274956,0.024629405813291348,0.1569375857253174
D-R032,0.1782923389655958,0.04662292054186963,0.2159234136027625
D-N05B1,0.11374617370356774,0.0235857296456896,0.15357646188687119
D-N02BA1,0.11542028515624998,0.020018439255445865,0.14148653383077084
D-N05B2,0.0639652916878452,0.006757882711987819,0.08220634228566442
