DATA_SET_NAME,MAE,MSE,RMSE
M-data_Bahamas,0.0526090670371032,0.0053009231530794275,0.07280743885812374
M-data_British_Virgin_Island,0.08972938015670034,0.011902540323092604,0.10909876407683364
M-data_Bolivia,0.06592118191006327,0.007548174992699608,0.08688023361328863
M-data_Albania,0.046604202935003135,0.003544185386197282,0.05953306128696291
M-data_Baker_Island,0.052825424079468955,0.004480650944614653,0.0669376646187679
M-data_Algeria,0.03456038218247981,0.001923232859409408,0.043854678877052654
M-data_Andorra,0.04050517537949986,0.0026693363043492676,0.05166562013901766
M-data_Azerbaijan,0.040982484807253146,0.0026508115117456947,0.05148603220044923
M-data_Belgium,0.06859966428194703,0.007931100089061333,0.08905672399690735
M-data_Burma,0.04227140472860815,0.003260835821253044,0.057103728610775006
M-data_Afghanistan,0.03502013268047657,0.002223112259925791,0.04714989140948037
M-data_Cameroon,0.07185465999491783,0.009359355813996318,0.09674376369563217
M-data_Armenia,0.04009178303485447,0.0026418732072194554,0.051399155705317334
M-data_Costa_Rica,0.07110460684839602,0.008113869464827362,0.09007701962669147
M-data_Benin,0.052870035913159794,0.0046402277403246725,0.06811921711473695
M-data_Bosnia_H,0.026553683732172213,0.0010121586918997421,0.03181444156196588
M-data_Botswana,0.05853737123563928,0.0051647774864962736,0.07186638634644345
M-data_Antigua_Barbada,0.09085841819650431,0.012230841906091512,0.11059313679470129
M-data_Colombia,0.15706865555577976,0.037578269298017906,0.19385115242891363
