DATA_SET_NAME,Method,MAE,MSE,RMSE
D-R031,Prophet Method,0.1563469072666055,0.04410657392377333,0.21001565161619104
D-N02BE1,Prophet Method,0.12637338751031973,0.022080416994118432,0.1485948080994704
D-N02BE2,Prophet Method,0.06259874007842216,0.007064511493553991,0.08405064838271023
D-N02BA2,Prophet Method,0.1236675208130315,0.025578524262806383,0.1599328742404337
D-R032,Prophet Method,0.154862926717262,0.0414602037473687,0.20361778838639982
D-N05B1,Prophet Method,0.16350654038619916,0.04569346453309176,0.21376029690541637
D-N02BA1,Prophet Method,0.11473396199048576,0.02076568949731501,0.14410305165857873
D-N05B2,Prophet Method,0.06614415126073654,0.006825996768211372,0.0826195907046953
