DATA_SET_NAME,MAE,MSE,RMSE
D-ZEC_USDT,0.09443236931666299,0.014427689374382551,0.12011531698489811
D-ltc,0.23617047816520675,0.06474846674741051,0.25445720022709223
D-ETC_USDT,0.11389748933658851,0.027065879374698527,0.16451710967160385
D-TRX_USDT,0.13277053496236083,0.04223263630254555,0.20550580600689983
D-bitcoin,0.0658921911786383,0.005845313813224047,0.0764546520051203
D-eos,0.028955060293351476,0.0016499127169974535,0.04061911762947902
D-neo,0.02011339539496877,0.0005605862773961261,0.023676703262830452
D-eth,0.02528195189015979,0.0009607277820424814,0.030995609076810888
D-link,0.2236771066511624,0.06981106535280787,0.26421783693158923
D-bnb,0.12165844805917317,0.020170204080122982,0.14202184367245407
D-ADA_USDT,0.12254244179312529,0.027801978447162364,0.16673925286855032
D-xrp,0.23899574883773847,0.0878060914823472,0.29632092650089226
D-XLM_USDT,0.2996401737703262,0.23621183737778984,0.4860162933254294
