unix,ds,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount,Value
1.54898E+12,2019-02-01,LINK/USDT,0.385,0.43,0.38,0.4147,1899232.56,768342.4673,3972,0.405
1.54907E+12,2019-02-02,LINK/USDT,0.4163,0.433,0.3985,0.4136,821033.48,340840.3312,2351,0.41575
1.54915E+12,2019-02-03,LINK/USDT,0.417,0.417,0.386,0.3963,1065170.56,424303.9717,2400,0.4015
1.54924E+12,2019-02-04,LINK/USDT,0.3959,0.4125,0.3867,0.3943,1449384.96,579009.5831,2746,0.3996
1.54932E+12,2019-02-05,LINK/USDT,0.3926,0.4327,0.3902,0.4224,1299107.03,532341.1039,3411,0.41145
1.54941E+12,2019-02-06,LINK/USDT,0.4224,0.4236,0.3915,0.4,1368546.21,552819.6212,3815,0.40755
1.5495E+12,2019-02-07,LINK/USDT,0.4,0.4065,0.3913,0.4021,498842.36,199193.7825,1770,0.3989
1.54958E+12,2019-02-08,LINK/USDT,0.4021,0.45,0.3985,0.4383,2015969.58,859693.2986,5194,0.42425
1.54967E+12,2019-02-09,LINK/USDT,0.4371,0.4844,0.431,0.4612,1384815.95,637171.0454,4320,0.4577
1.54976E+12,2019-02-10,LINK/USDT,0.4648,0.48,0.4325,0.4499,2000850.55,913391.6196,5046,0.45625
1.54984E+12,2019-02-11,LINK/USDT,0.4495,0.4515,0.42,0.4289,1580197.39,685555.8726,4364,0.43575
1.54993E+12,2019-02-12,LINK/USDT,0.4277,0.4374,0.4176,0.4277,941303.58,400668.7604,2718,0.4275
1.55002E+12,2019-02-13,LINK/USDT,0.4277,0.4454,0.4183,0.4411,935377.38,400576.9909,2886,0.43185
1.5501E+12,2019-02-14,LINK/USDT,0.4422,0.4442,0.4203,0.4259,942053.44,407685.9414,3034,0.43225
1.55019E+12,2019-02-15,LINK/USDT,0.4235,0.45,0.4222,0.4342,612251.8,264659.8495,2328,0.4361
1.55028E+12,2019-02-16,LINK/USDT,0.4366,0.4464,0.4251,0.4398,465491.58,203941.2721,1988,0.43575
1.55036E+12,2019-02-17,LINK/USDT,0.4386,0.4797,0.4317,0.4604,1616509.72,740396.471,4667,0.4557
1.55045E+12,2019-02-18,LINK/USDT,0.4615,0.4823,0.4534,0.471,1430254.78,671573.6586,4250,0.46785
1.55053E+12,2019-02-19,LINK/USDT,0.471,0.4789,0.452,0.4598,1548002.44,724054.883,4036,0.46545
1.55062E+12,2019-02-20,LINK/USDT,0.4548,0.4748,0.4432,0.4618,1358786.28,625130.767,3853,0.459
1.55071E+12,2019-02-21,LINK/USDT,0.4617,0.475,0.438,0.4438,1443214.98,655875.7907,4183,0.4565
1.55079E+12,2019-02-22,LINK/USDT,0.4438,0.465,0.44,0.4479,700523.77,313850.8636,2334,0.4525
1.55088E+12,2019-02-23,LINK/USDT,0.448,0.464,0.4437,0.4585,925529.64,419693.7273,2632,0.45385
1.55097E+12,2019-02-24,LINK/USDT,0.4592,0.4644,0.3975,0.405,2154193.25,917345.2756,4851,0.43095
1.55105E+12,2019-02-25,LINK/USDT,0.4047,0.4749,0.4007,0.4723,1785356.21,783690.7505,4943,0.4378
1.55114E+12,2019-02-26,LINK/USDT,0.4722,0.474,0.43,0.4341,1775526.67,796546.5868,4223,0.452
1.55123E+12,2019-02-27,LINK/USDT,0.4335,0.4412,0.4145,0.4274,854212.45,365787.4184,2137,0.42785
1.55131E+12,2019-02-28,LINK/USDT,0.4274,0.45,0.4166,0.4244,1059968.13,455311.56,2857,0.4333
1.5514E+12,2019-03-01,LINK/USDT,0.4236,0.4386,0.4203,0.4285,560690.81,239706.0481,1648,0.42945
1.55148E+12,2019-03-02,LINK/USDT,0.4286,0.4372,0.4173,0.4221,331570,140599.974,1133,0.42725
1.55157E+12,2019-03-03,LINK/USDT,0.4232,0.4292,0.4177,0.4205,225429.95,95660.21647,911,0.42345
1.55166E+12,2019-03-04,LINK/USDT,0.4203,0.4255,0.3929,0.4036,946382.19,387502.9483,2834,0.4092
1.55174E+12,2019-03-05,LINK/USDT,0.4029,0.4343,0.4023,0.4291,1686179.9,703630.8977,4232,0.4183
1.55183E+12,2019-03-06,LINK/USDT,0.4291,0.4385,0.4186,0.4296,716328.15,305884.8094,2057,0.42855
1.55192E+12,2019-03-07,LINK/USDT,0.4296,0.4766,0.4256,0.4521,1498764.03,677393.5431,4029,0.4511
