unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.5158E+12,2018-01-13,BNB/USDT,22.1999,23.4998,21.04,22.0246,1080455.71,23892359.66,44230,22.2699
1.51589E+12,2018-01-14,BNB/USDT,22.0252,22.1,18.21,20.4541,1384083.33,27604526.76,42782,20.155
1.51597E+12,2018-01-15,BNB/USDT,20.4546,23.231,19.0113,19.3396,2288556.77,48015494.1,66566,21.12115
1.51606E+12,2018-01-16,BNB/USDT,19.4376,19.4475,9.89,13.1996,9933431.45,139644539.6,147935,14.66875
1.51615E+12,2018-01-17,BNB/USDT,13.0262,15.7,9.4001,14.1998,9971697.17,122414802.7,142631,12.55005
1.51623E+12,2018-01-18,BNB/USDT,14.1191,15.9,13.0203,14.1397,6699252.37,97652794.25,118654,14.46015
1.51632E+12,2018-01-19,BNB/USDT,14.0405,15.4799,13.501,14.9447,3004070.17,43859906.15,62345,14.49045
1.51641E+12,2018-01-20,BNB/USDT,14.9447,16.68,14.8249,16.1712,2617140.33,41482318.43,57285,15.75245
1.51649E+12,2018-01-21,BNB/USDT,16.1602,16.26,13.0339,14.1334,3318363.34,47611231.71,71698,14.64695
1.51658E+12,2018-01-22,BNB/USDT,14.1334,14.4978,11.6101,12.91,2873190.83,37462952.58,64756,13.05395
1.51667E+12,2018-01-23,BNB/USDT,12.9149,13.9,11.637,13.1022,2335831.96,30111386.36,56423,12.7685
1.51675E+12,2018-01-24,BNB/USDT,13.1494,14.3,12.6,13.8,1947186.76,26281710.58,49234,13.45
1.51684E+12,2018-01-25,BNB/USDT,13.7998,14.1516,13.01,13.1905,1427643.05,19412612.64,39298,13.5808
1.51692E+12,2018-01-26,BNB/USDT,13.1905,13.5989,12.01,13.1344,1788845.56,22953959.43,43843,12.80445
1.51701E+12,2018-01-27,BNB/USDT,13.169,13.551,12.85,13.3994,992878.39,13146032.48,27493,13.2005
1.5171E+12,2018-01-28,BNB/USDT,13.3991,14.0235,13.3,13.7739,1377401.9,18904156.18,37047,13.66175
1.51718E+12,2018-01-29,BNB/USDT,13.7739,13.87,12.739,12.815,857953.21,11323433.17,36407,13.3045
1.51727E+12,2018-01-30,BNB/USDT,12.8295,12.98,11.11,11.4749,1322539.56,15867521.23,60334,12.045
1.51736E+12,2018-01-31,BNB/USDT,11.46,11.5483,10.553,11.3131,947115.48,10484378.72,51311,11.05065
1.51744E+12,2018-02-01,BNB/USDT,11.3131,11.45,8.63,9.5138,2169016.01,21324215.62,79432,10.04
1.51753E+12,2018-02-02,BNB/USDT,9.5138,10.749,7.3,9.7484,4023356.31,36505514.48,121757,9.0245
1.51762E+12,2018-02-03,BNB/USDT,9.7485,10.354,8.5818,9.7252,2348921.72,22613977.15,89047,9.4679
1.5177E+12,2018-02-04,BNB/USDT,9.7497,9.7527,8.012,8.3511,2015678.77,17956277.49,69602,8.88235
1.51779E+12,2018-02-05,BNB/USDT,8.4003,8.6005,6.0801,6.7315,3127797.46,22662358.51,90071,7.3403
1.51788E+12,2018-02-06,BNB/USDT,6.7216,8.6,5.5233,8.263,6158895.87,43465082.52,157259,7.06165
1.51796E+12,2018-02-07,BNB/USDT,8.2502,9.236,7.28,8.0647,4409292.58,36944818.08,125841,8.258
1.51805E+12,2018-02-08,BNB/USDT,8.0979,8.3887,8.0012,8.2791,91986.49,759169.4722,1930,8.19495
1.51813E+12,2018-02-09,BNB/USDT,8.2791,10,8.279,9.86,2406640.35,22679154.34,62867,9.1395
1.51822E+12,2018-02-10,BNB/USDT,9.86,10.4444,8.767,9.2448,3349144.7,32153679.13,93350,9.6057
1.51831E+12,2018-02-11,BNB/USDT,9.2501,9.5,8.02,8.674,3021732.48,26487879.88,116910,8.76
1.51839E+12,2018-02-12,BNB/USDT,8.6739,9.4348,8.659,9.3389,1912462.38,17582215.1,94865,9.0469
1.51848E+12,2018-02-13,BNB/USDT,9.339,9.36,8.7306,9.016,1365850.96,12322372.96,60462,9.0453
1.51857E+12,2018-02-14,BNB/USDT,9.0001,10.65,8.953,10.4096,2568177.67,24867818.31,88417,9.8015
1.51865E+12,2018-02-15,BNB/USDT,10.4063,11.29,9.9784,10.8661,4236021.22,45428000.51,140707,10.6342
1.51874E+12,2018-02-16,BNB/USDT,10.8784,11.25,10.3,11.25,1968986.94,21239028.81,76064,10.775
1.51883E+12,2018-02-17,BNB/USDT,11.2054,11.8461,10.85,11.66,2278513.2,26288227.9,84738,11.34805
1.51891E+12,2018-02-18,BNB/USDT,11.6827,11.6827,10.5819,10.6631,2183910.15,24076691.3,83390,11.1323
1.519E+12,2018-02-19,BNB/USDT,10.6631,11.1899,10.5398,11.0601,1336755.03,14693133.12,58477,10.86485
1.51908E+12,2018-02-20,BNB/USDT,11.0699,11.2,9.68,9.8888,2357501.48,25120547.91,83560,10.44
1.51917E+12,2018-02-21,BNB/USDT,9.8888,10.2252,9.045,9.3799,2277445.93,21918750.27,90850,9.6351
1.51926E+12,2018-02-22,BNB/USDT,9.395,9.8129,8.6203,8.86,1792778.94,16364492.72,75059,9.2166
