unix,ds,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,Value
1502928000.0,2017-08-17,BTC/USDT,4469.93,4485.39,4200.74,4285.08,647.86,2812379.11,NULL,4343.065
1503014400.0,2017-08-18,BTC/USDT,4285.08,4371.52,3938.77,4108.37,1178.07,4994493.56,NULL,4155.145
1503100800.0,2017-08-19,BTC/USDT,4108.37,4184.69,3850,4139.98,371.15,1508239.39,NULL,4017.345
1503187200.0,2017-08-20,BTC/USDT,4139.98,4211.08,4032.62,4086.29,463.54,1915636.35,NULL,4121.85
1503273600.0,2017-08-21,BTC/USDT,4086.29,4119.62,3911.79,4016,685.12,2770592.06,NULL,4015.705
1503360000.0,2017-08-22,BTC/USDT,4016,4104.82,3400,4040,939.91,3648726.5,NULL,3752.41
1503446400.0,2017-08-23,BTC/USDT,4040,4265.8,4013.89,4114.01,980.5,4062506.52,NULL,4139.845
1503532800.0,2017-08-24,BTC/USDT,4114.01,4371.68,4085.01,4316.01,770.46,3225405.8,NULL,4228.345
1503619200.0,2017-08-25,BTC/USDT,4316.01,4453.91,4247.48,4280.68,563.36,2440323.79,NULL,4350.695
1503705600.0,2017-08-26,BTC/USDT,4280.68,4367,4212.41,4337.44,225.76,967753.32,NULL,4289.705
1503792000.0,2017-08-27,BTC/USDT,4337.44,4400,4285.54,4310.01,347.47,1507589.96,NULL,4342.77
1503878400.0,2017-08-28,BTC/USDT,4310.01,4399.82,4124.54,4386.69,593.15,2546618.75,NULL,4262.18
1503964800.0,2017-08-29,BTC/USDT,4386.69,4625.85,4313.55,4587.48,594.12,2640584.83,NULL,4469.7
1504051200.0,2017-08-30,BTC/USDT,4587.48,4647.51,4416.01,4555.14,790.13,3600737.68,NULL,4531.76
1504137600.0,2017-08-31,BTC/USDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43,NULL,4650.28
1504224000.0,2017-09-01,BTC/USDT,4724.89,4885.55,4654.88,4834.91,554.18,2634056.29,NULL,4770.215
1504310400.0,2017-09-02,BTC/USDT,4834.91,4939.19,4286.87,4472.14,888.18,4072965.36,NULL,4613.03
1504396800.0,2017-09-03,BTC/USDT,4472.14,4714.76,4298.33,4509.08,666.62,3011023.5,NULL,4506.545
1504483200.0,2017-09-04,BTC/USDT,4509.08,4527.49,3972.51,4100.11,1309.91,5550545.61,NULL,4250
1504569600.0,2017-09-05,BTC/USDT,4100.11,4484.99,3603,4366.47,1175.2,4863148.22,NULL,4043.995
1504656000.0,2017-09-06,BTC/USDT,4366.47,4662.87,4335.26,4619.77,779.5,3500735.96,NULL,4499.065
1504742400.0,2017-09-07,BTC/USDT,4619.77,4788.59,4438.19,4691.61,481.83,2219664.92,NULL,4613.39
1504828800.0,2017-09-08,BTC/USDT,4691.61,4735.39,4028.93,4282.8,1108.34,4764005.93,NULL,4382.16
1504915200.0,2017-09-09,BTC/USDT,4282.8,4426.62,4150.06,4258.81,658.59,2814560.35,NULL,4288.34
1505001600.0,2017-09-10,BTC/USDT,4258.81,4283,3801,4130.37,648.94,2653218.2,NULL,4042
1505088000.0,2017-09-11,BTC/USDT,4130.37,4334.43,4098.91,4208.47,685.57,2895733.88,NULL,4216.67
1505174400.0,2017-09-12,BTC/USDT,4208.47,4394.59,4040.8,4163.72,873.9,3700789.23,NULL,4217.695
1505260800.0,2017-09-13,BTC/USDT,4163.72,4165.38,3760,3944.69,901.25,3522155.98,NULL,3962.69
1505347200.0,2017-09-14,BTC/USDT,3944.69,3993,3165.13,3189.02,1642.54,5831847.65,NULL,3579.065
1505433600.0,2017-09-15,BTC/USDT,3189.02,3856,2817,3700,1949.32,6525220.95,NULL,3336.5
1505520000.0,2017-09-16,BTC/USDT,3700,3950,3470.66,3714.95,1280.1,4739326.89,NULL,3710.33
1505606400.0,2017-09-17,BTC/USDT,3714.95,3748.21,3499.02,3699.99,676.16,2445321.19,NULL,3623.615
1505692800.0,2017-09-18,BTC/USDT,3699.99,4123.2,3690,4035.01,1027.67,4059703.98,NULL,3906.6
1505779200.0,2017-09-19,BTC/USDT,4035.01,4089.97,3830.91,3910.04,898.81,3544361.84,NULL,3960.44
1505865600.0,2017-09-20,BTC/USDT,3910.04,4046.08,3820,3900,719.59,2834260.05,NULL,3933.04
1505952000.0,2017-09-21,BTC/USDT,3900,3910,3567,3609.99,971.06,3642671.89,NULL,3738.5
1506038400.0,2017-09-22,BTC/USDT,3609.99,3750,3505.55,3595.87,833.3,3011224.81,NULL,3627.775
1506124800.0,2017-09-23,BTC/USDT,3595.87,3817.19,3542.91,3780,747.79,2781158.57,NULL,3680.05
1506211200.0,2017-09-24,BTC/USDT,3780,3789.99,3622.76,3660.02,659.82,2439045.2,NULL,3706.375
1506297600.0,2017-09-25,BTC/USDT,3660.02,3979.87,3653.69,3920.75,720.64,2755957.53,NULL,3816.78
1506384000.0,2017-09-26,BTC/USDT,3920.75,3976.99,3850.05,3882.35,523.31,2047857.28,NULL,3913.52
1506470400.0,2017-09-27,BTC/USDT,3882.35,4249.94,3872.81,4193,625.3,2542872.29,NULL,4061.375
1506556800.0,2017-09-28,BTC/USDT,4193,4300,4101,4174.5,839.55,3510052.09,NULL,4200.5
1506643200.0,2017-09-29,BTC/USDT,4174.5,4263.86,3952.01,4174.69,1561.22,6403068.39,NULL,4107.935
1506729600.0,2017-09-30,BTC/USDT,4174.69,4380,4138.1,4378.51,705.52,3025265.75,NULL,4259.05
1506816000.0,2017-10-01,BTC/USDT,4378.51,4406.52,4240.04,4378.48,724.9,3128231.71,NULL,4323.28
1506902400.0,2017-10-02,BTC/USDT,4378.48,4561.63,4360,4380,634.55,2811131.03,NULL,4460.815
1506988800.0,2017-10-03,BTC/USDT,4380,4467.33,4180.8,4310,1070.97,4579122.09,NULL,4324.065
1507075200.0,2017-10-04,BTC/USDT,4310,4373,4142,4208.59,859.82,3639917.0,NULL,4257.5
1507161600.0,2017-10-05,BTC/USDT,4208.59,4355,4110,4292.43,760.44,3216620.42,NULL,4232.5
1507248000.0,2017-10-06,BTC/USDT,4292.43,4417,4292,4369,502.17,2193131.64,NULL,4354.5
1507334400.0,2017-10-07,BTC/USDT,4369,4479.5,4312.56,4423,288.14,1261367.6,NULL,4396.03
1507420800.0,2017-10-08,BTC/USDT,4423,4658,4423,4640,504.13,2282412.29,NULL,4540.5
1507507200.0,2017-10-09,BTC/USDT,4640,4889.98,4550,4786.95,639.27,3006465.77,NULL,4719.99
1507593600.0,2017-10-10,BTC/USDT,4786.95,4960,4680.59,4783.06,1036.4,5011470.95,NULL,4820.295
1507680000.0,2017-10-11,BTC/USDT,4783.06,4881.61,4710,4821.43,736.72,3529503.87,NULL,4795.805
1507766400.0,2017-10-12,BTC/USDT,4821.43,5439.99,4810.16,5430,1267.18,6610146.0,NULL,5125.075
1507852800.0,2017-10-13,BTC/USDT,5430,5846.17,5379.84,5649.98,1865.9,10519034.83,NULL,5613.005
1507939200.0,2017-10-14,BTC/USDT,5649.98,5900,5580.01,5869.99,966.19,5507933.89,NULL,5740.005
1508025600.0,2017-10-15,BTC/USDT,5869.99,5922.3,5400.01,5709.99,1329.45,7474934.37,NULL,5661.155
1508112000.0,2017-10-16,BTC/USDT,5709.99,5788.91,5585.19,5760.02,1516.11,8628528.43,NULL,5687.05
1508198400.0,2017-10-17,BTC/USDT,5760.02,5774.98,5508.63,5595,1422.23,7998644.63,NULL,5641.805
1508284800.0,2017-10-18,BTC/USDT,5595,5596,5037.95,5512.06,2295.6,12337122.76,NULL,5316.975
1508371200.0,2017-10-19,BTC/USDT,5512.06,5710,5490.26,5683.9,1869.04,10537781.67,NULL,5600.13
1508457600.0,2017-10-20,BTC/USDT,5683.9,6110,5600,6010.01,1930.56,11235714.66,NULL,5855
1508544000.0,2017-10-21,BTC/USDT,6010.01,6171,5850.03,6024.97,1650.65,10031910.73,NULL,6010.515
1508630400.0,2017-10-22,BTC/USDT,6024.97,6060,5720.03,5950.02,1347.95,7951487.14,NULL,5890.015
1508716800.0,2017-10-23,BTC/USDT,5950.02,6080,5621.03,5915.93,1788.86,10468709.39,NULL,5850.515
1508803200.0,2017-10-24,BTC/USDT,5915.93,5925,5450,5477.03,2555.89,14426687.47,NULL,5687.5
1508889600.0,2017-10-25,BTC/USDT,5477.03,5704.96,5286.98,5689.99,2256.1,12398533.97,NULL,5495.97
1508976000.0,2017-10-26,BTC/USDT,5689.99,5939.99,5650,5861.77,1959.75,11340558.63,NULL,5794.995
1509062400.0,2017-10-27,BTC/USDT,5861.77,5980,5649.24,5768.83,1394.13,8110889.65,NULL,5814.62
1509148800.0,2017-10-28,BTC/USDT,5768.83,5850.02,5630.03,5719.64,1269.38,7265286.61,NULL,5740.025
1509235200.0,2017-10-29,BTC/USDT,5719.64,6189.88,5648.01,6169.98,1783.44,10494670.52,NULL,5918.945
1509321600.0,2017-10-30,BTC/USDT,6169.98,6248.68,6030,6120.5,1467.03,8989412.91,NULL,6139.34
1509408000.0,2017-10-31,BTC/USDT,6120.5,6498.01,6100,6463,1498.91,9405855.26,NULL,6299.005
1509494400.0,2017-11-01,BTC/USDT,6463,6774.67,6338.02,6753.98,1659.85,10848260.96,NULL,6556.345
1509580800.0,2017-11-02,BTC/USDT,6753.98,7300,6685.1,7019.98,2459.59,17065694.69,NULL,6992.55
1509667200.0,2017-11-03,BTC/USDT,7019.98,7346.34,6923,7115.04,1857.73,13371961.76,NULL,7134.67
1509753600.0,2017-11-04,BTC/USDT,7115.04,7480.99,6901,7357.09,1385.7,9967485.56,NULL,7190.995
1509840000.0,2017-11-05,BTC/USDT,7357.09,7590.25,7279.02,7345.01,1192.58,8887109.79,NULL,7434.635
1509926400.0,2017-11-06,BTC/USDT,7345.01,7401,6906,6960.12,1741.45,12518224.29,NULL,7153.5
1510012800.0,2017-11-07,BTC/USDT,6960.12,7198.49,6901,7064.04,1421.75,10043061.88,NULL,7049.745
1510099200.0,2017-11-08,BTC/USDT,7064.04,7770,6651,7303,2726.84,19801967.39,NULL,7210.5
1510185600.0,2017-11-09,BTC/USDT,7303,7392,7015,7079.99,1893.28,13654254.41,NULL,7203.5
1510272000.0,2017-11-10,BTC/USDT,7079.99,7279.91,6255.01,6506.98,3186.23,21622898.73,NULL,6767.46
1510358400.0,2017-11-11,BTC/USDT,6506.98,6797.98,6100,6245.05,2685.67,17244601.14,NULL,6448.99
1510444800.0,2017-11-12,BTC/USDT,6245.05,6630,5325.01,5811.03,4854.44,29032268.06,NULL,5977.505
1510531200.0,2017-11-13,BTC/USDT,5811.03,6697.47,5699.99,6465.99,2543.41,16021297.87,NULL,6198.73
1510617600.0,2017-11-14,BTC/USDT,6465.99,6684.98,6311.07,6574.99,1228.66,8002218.02,NULL,6498.025
1510704000.0,2017-11-15,BTC/USDT,6574.99,7298,6574.99,7240.06,1745.83,12209260.29,NULL,6936.495
1510790400.0,2017-11-16,BTC/USDT,7240.06,7940,7076,7864.5,2294.2,17218742.72,NULL,7508
1510876800.0,2017-11-17,BTC/USDT,7864.5,7989,7451,7699.19,3893.14,30331551.17,NULL,7720
1510963200.0,2017-11-18,BTC/USDT,7699.19,7819.99,7422,7761.94,3912.88,30018085.64,NULL,7620.995
1511049600.0,2017-11-19,BTC/USDT,7761.94,8123.15,7650.33,8038,3845.99,30155811.14,NULL,7886.74
1511136000.0,2017-11-20,BTC/USDT,8038,8319.99,7954,8212,3857.0,31325904.01,NULL,8136.995
1511222400.0,2017-11-21,BTC/USDT,8212,8400,7801,8119.51,4468.09,36459262.83,NULL,8100.5
1511308800.0,2017-11-22,BTC/USDT,8119.51,8322.68,8091.09,8205.92,3518.81,28909672.15,NULL,8206.885
1511395200.0,2017-11-23,BTC/USDT,8205.92,8260,8000,8019.99,4054.54,33078791.97,NULL,8130
1511481600.0,2017-11-24,BTC/USDT,8019.99,8369,7850,8138,4331.83,35190695.02,NULL,8109.5
1511568000.0,2017-11-25,BTC/USDT,8138,8734.78,8090,8700.01,4228.66,35557462.89,NULL,8412.39
1511654400.0,2017-11-26,BTC/USDT,8700.01,9350,8604.72,9128.02,4108.18,36788798.23,NULL,8977.36
1511740800.0,2017-11-27,BTC/USDT,9128.02,9654.28,9112.04,9650,4473.98,42510408.37,NULL,9383.16
1511827200.0,2017-11-28,BTC/USDT,9650,9939,9570.5,9896.8,4877.07,47842436.8,NULL,9754.75
1511913600.0,2017-11-29,BTC/USDT,9896.8,11300.03,8520,9687.88,13041.92,132892125.36,NULL,9910.015
1512000000.0,2017-11-30,BTC/USDT,9687.88,10900,8850.8,9838.96,9181.76,89443707.91,NULL,9875.4
1512086400.0,2017-12-01,BTC/USDT,9838.96,10898,9380,10782.99,6033.85,61238619.44,NULL,10139
1512172800.0,2017-12-02,BTC/USDT,10782.99,11190,10620,10890.01,4700.93,51343786.05,NULL,10905
1512259200.0,2017-12-03,BTC/USDT,10890.01,11825,10500,11165.41,5212.23,58847089.26,NULL,11162.5
1512345600.0,2017-12-04,BTC/USDT,11165.41,11600,10802,11579,4599.15,52088059.28,NULL,11201
1512432000.0,2017-12-05,BTC/USDT,11579,11853,11447.68,11699.99,5510.92,64256817.15,NULL,11650.34
1512518400.0,2017-12-06,BTC/USDT,11699.99,13615.23,11665.58,13550.05,6556.68,82493149.76,NULL,12640.405
1512604800.0,2017-12-07,BTC/USDT,13550.05,16649.96,13050,16599,7262.95,106276261.15,NULL,14849.98
1512691200.0,2017-12-08,BTC/USDT,16599,17204.99,14015,15880,17344.04,267790028.46,NULL,15609.995
1512777600.0,2017-12-09,BTC/USDT,15880,16269.3,12535,14656.07,13725.0,202610478.58,NULL,14402.15
1512864000.0,2017-12-10,BTC/USDT,14656.07,15720.12,12368,14899.98,16107.43,227450819.89,NULL,14044.06
1512950400.0,2017-12-11,BTC/USDT,14899.98,17470,14899.98,16587.97,11632.79,189991754.64,NULL,16184.99
1513036800.0,2017-12-12,BTC/USDT,16587.97,16976.45,15875,16349.99,9309.36,153618681.17,NULL,16425.725
1513123200.0,2017-12-13,BTC/USDT,16349.99,16546,14666.56,16033.29,12216.88,193659309.9,NULL,15606.28
1513209600.0,2017-12-14,BTC/USDT,16033.29,16445,15450,16334.98,11220.26,179714368.68,NULL,15947.5
1513296000.0,2017-12-15,BTC/USDT,16334.98,17991,16298.45,17539.83,8999.13,156645098.58,NULL,17144.725
1513382400.0,2017-12-16,BTC/USDT,17539.83,19539,17190.01,19102.66,4118.28,74736577.26,NULL,18364.505
1513468800.0,2017-12-17,BTC/USDT,19102.66,19798.68,18510,18860.02,8980.73,172113390.51,NULL,19154.34
1.51E+12,2017-12-18,BTC/USDT,18860.04000000,19300,17029.98,18856.25000000,10624.63307100,196339245.74519796,91956,18164.99
1513555200.0,2017-12-18,BTC/USDT,18860.02,19300,17029.98,18856.25,10280.98,190057336.85,NULL,18164.99
1.51E+12,2017-12-19,BTC/USDT,18856.25000000,18950,16300,17295.20000000,13210.74822000,232790625.92336665,116569,17625
1.51E+12,2017-12-20,BTC/USDT,17295.20000000,17720.35,14777.66,16488.98000000,13450.49669300,221193892.50223891,129762,16249.005
1.51E+12,2017-12-21,BTC/USDT,16480.52000000,17309.5,14022,15492.64000000,20324.21730000,320176825.29037606,117731,15665.75
1.51E+12,2017-12-22,BTC/USDT,15514.03000000,15699.34,10961,13326.61000000,36076.27117500,477509934.71828649,243261,13330.17
1.51E+12,2017-12-23,BTC/USDT,13326.61000000,14950,12978.18,13300.00000000,13141.53887500,184759685.33206666,135005,13964.09
1.51E+12,2017-12-24,BTC/USDT,13300.00000000,13819.99,11640,13500.00000000,28557.53498800,365709589.60302897,173557,12729.995
1.51E+12,2017-12-25,BTC/USDT,13500.00000000,14300,12708,13699.34000000,15748.20760700,213139657.62891454,116416,13504
1.51E+12,2017-12-26,BTC/USDT,13699.34000000,16050,13533,15689.01000000,15034.66810400,224843731.89656885,133133,14791.5
1.51E+12,2017-12-27,BTC/USDT,15709.98000000,16498.05,14200.15,15459.99000000,14959.86472300,231229932.48204057,142202,15349.1
1.51E+12,2017-12-28,BTC/USDT,15459.97000000,15539.99,13150,14182.11000000,21717.85801400,303401227.98652002,178032,14344.995
1.51E+12,2017-12-29,BTC/USDT,14199.14000000,14981,13850,14378.90000000,18072.00811600,260911629.21807673,142100,14415.5
1.51E+12,2017-12-30,BTC/USDT,14378.99000000,14398.85,11750,12440.01000000,19221.15803900,247803953.75248587,190204,13074.425
1.51E+12,2017-12-31,BTC/USDT,12345.10000000,14050.11,12149.98,13716.36000000,11768.98971800,155283285.36704132,138893,13100.045
1.51E+12,2018-01-01,BTC/USDT,13715.65000000,13818.55,12750,13380.00000000,8609.91584400,114799747.44197057,105595,13284.275
1.51E+12,2018-01-02,BTC/USDT,13382.16000000,15473.49,12890.02,14675.11000000,20078.09211100,279717107.43371920,177728,14181.755
1.51E+12,2018-01-03,BTC/USDT,14690.00000000,15307.56,14150,14919.51000000,15905.66763900,236116868.33619011,162787,14728.78
1.52E+12,2018-01-04,BTC/USDT,14919.51000000,15280,13918.04,15059.54000000,21329.64957400,312781583.79830782,170310,14599.02
1.52E+12,2018-01-05,BTC/USDT,15059.56000000,17176.24,14600,16960.39000000,23251.49112500,369321956.48683753,192969,15888.12
1.52E+12,2018-01-06,BTC/USDT,16960.39000000,17143.13,16011.21,17069.79000000,18571.45750800,309216920.98641042,158242,16577.17
1.52E+12,2018-01-07,BTC/USDT,17069.79000000,17099.96,15610,16150.03000000,12493.12555800,206194706.37068353,120269,16354.98
1.52E+12,2018-01-08,BTC/USDT,16218.85000000,16322.3,12812,14902.54000000,26600.60991200,396569997.15746266,208642,14567.15
1.52E+12,2018-01-09,BTC/USDT,14902.54000000,15500,14011.05,14400.00000000,14315.00425300,210630187.45766862,156656,14755.525
1.52E+12,2018-01-10,BTC/USDT,14401.00000000,14955.66,13131.31,14907.09000000,17411.00165500,244011366.76302799,161476,14043.485
1.52E+12,2018-01-11,BTC/USDT,14940.00000000,14968.68,11400,13238.78000000,33554.72375100,446587594.69373790,239416,13184.34
