DATA_SET_NAME,Method,MAE,MSE,RMSE
D-R031,Prophet Method,0.16806097008291998,0.0513223261913353,0.22654431396822852
D-N02BE1,Prophet Method,0.1621851041477022,0.03902683358877039,0.19755210347847574
D-N02BE2,Prophet Method,0.06989500887534762,0.007882846885892608,0.08878539793171289
D-N02BA2,Prophet Method,0.12238110987815176,0.025095134340487733,0.1584144385480305
D-R032,Prophet Method,0.15440471281419904,0.042775675756714086,0.20682281246688936
D-N05B1,Prophet Method,0.186163289545457,0.0560586869083128,0.23676715757957817
D-N02BA1,Prophet Method,0.13078097203854736,0.029313264707077517,0.17121116992497165
D-N05B2,Prophet Method,0.06621080469386757,0.006693683998348895,0.08181493750134443
