DATA_SET_NAME,MAE,MSE,RMSE
M-data_Bahamas,0.06702240897267553,0.007833943642421813,0.08850956808403153
M-data_British_Virgin_Island,0.07703354418349351,0.009138660458010737,0.09559634123757424
M-data_Bolivia,0.08918820757405715,0.013102700399453913,0.11446702756450834
M-data_Albania,0.05331391474046361,0.004441561050656011,0.06664503770466343
M-data_Baker_Island,0.04712211430606352,0.003692899120454265,0.06076922840101119
M-data_Algeria,0.031172081442116504,0.0016636194936193844,0.040787491877037306
M-data_Andorra,0.04507447556192798,0.003240512273103832,0.05692549756571155
M-data_Azerbaijan,0.04042784322755639,0.00252801774901003,0.05027939686402404
M-data_Belgium,0.05125028520961,0.004275345866648963,0.06538612900798581
M-data_Burma,0.04623990365039043,0.0036719205658755525,0.06059637419743489
M-data_Afghanistan,0.039565512720535774,0.002609919046056926,0.051087366795098434
M-data_Cameroon,0.07303385891961128,0.008781868382500113,0.09371162351864422
M-data_Armenia,0.04243599494744775,0.002885811866448234,0.053719753037855957
M-data_Costa_Rica,0.1156089606285455,0.022088394580028866,0.14862164909604814
M-data_Benin,0.05303009175751935,0.0044947854056890425,0.06704316076744177
M-data_Bosnia_H,0.03795286115496144,0.002142052963092543,0.046282318039317594
M-data_Botswana,0.06110783697320546,0.005509691953959016,0.07422729925006713
M-data_Antigua_Barbada,0.09257276170543308,0.013555298510957995,0.1164272240971071
M-data_Colombia,0.18912160297392838,0.05475712208745274,0.23400239761047906
