DATA_SET_NAME,Method,MAE,MSE,RMSE
M-data_Bahamas,Prophet Method,0.05455901359849212,0.0056682474619097,0.07528776435722939
M-data_British_Virgin_Island,Prophet Method,0.058928871365746524,0.005785460610826336,0.07606221539520353
M-data_Bolivia,Prophet Method,0.061745034632425755,0.006748774391163461,0.08215092446931721
M-data_Albania,Prophet Method,0.042773285454066175,0.0028844631575301403,0.053707198377220725
M-data_Baker_Island,Prophet Method,0.05859823278964445,0.005200660993154524,0.0721156085265494
M-data_Algeria,Prophet Method,0.030198748530349383,0.0014658139405493542,0.038285949649308086
M-data_Andorra,Prophet Method,0.04446984202952286,0.0031309889502692187,0.05595524059700949
M-data_Azerbaijan,Prophet Method,0.03872627320810667,0.0023014684902192186,0.04797362285901721
M-data_Belgium,Prophet Method,0.05125772924426067,0.0043998275241770345,0.06633119570893498
M-data_Burma,Prophet Method,0.04252011789073202,0.003183356231855063,0.05642123919106229
M-data_Afghanistan,Prophet Method,0.0338312624826154,0.0020147980167960194,0.04488650149873589
M-data_Cameroon,Prophet Method,0.0687547600513026,0.008037351487678202,0.08965127711125036
M-data_Armenia,Prophet Method,0.03884955675087911,0.0024036942403571873,0.04902748454037987
M-data_Costa_Rica,Prophet Method,0.07247079555016844,0.00823727479932647,0.09075943366574336
M-data_Benin,Prophet Method,0.052397486672383795,0.004499809959024887,0.06708062282824219
M-data_Bosnia_H,Prophet Method,0.022844041702910746,0.0008525219303469583,0.02919797818937055
M-data_Botswana,Prophet Method,0.07268885467312947,0.007779203502578169,0.08819979309827303
M-data_Antigua_Barbada,Prophet Method,0.06374065268558458,0.006615742875141544,0.08133721703587814
M-data_Colombia,Prophet Method,0.1633735501321392,0.039148434736397945,0.1978596339236428
