DATA_SET_NAME,Method,MAE,MSE,RMSE
D-spain_reservoir,Naive Method,0.1037722031655086,0.02072921407325186,0.1439764358263249
D_-_spain_fossilhardcoal,Naive Method,0.32286220715750835,0.1531302419479776,0.3913185939205772
D_-_spain_fossilbrowncoal,Naive Method,0.36938753762186605,0.2182660354583561,0.46718950700797646
D-spain_river,Naive Method,0.16963161171038085,0.039405639849730396,0.19850853848066685
D_-_spain_fossilgas,Naive Method,0.1914385985162344,0.04859658827342552,0.22044633876167125
D-spain_wind_onshore,Naive Method,0.27686277796566144,0.09426714192338105,0.3070295456847452
D-spain_solar,Naive Method,0.4236103640680435,0.2459686964079206,0.4959523126349151
D-spain_other,Naive Method,0.12167150693772186,0.04732901847924588,0.21755233503514937
D-spain_hydroconsump,Naive Method,0.14085106731541094,0.029373369078536875,0.17138660705707687
D-spain_other_ren,Naive Method,0.2745567375886525,0.09315238167094213,0.3052087509737264
D-spain_nuclear,Naive Method,0.3188520686512368,0.1294695632264184,0.35981879220854823
D_-_spain_biomass,Naive Method,0.11783015821762999,0.027838691587131474,0.16684930802113468
D-spain_waste,Naive Method,0.09754473344401401,0.015259659455612045,0.1235299941536955
D_-_spain_fossiloil,Naive Method,0.11957811922487986,0.020456468380016718,0.1430261108330109
