DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Naive Method,0.26479986968258407,0.11854758844871564,0.34430740399926874
D-ltc,Naive Method,0.039096000812343344,0.0019301905182223151,0.04393393356190992
D-ETC_USDT,Naive Method,0.08364217038323432,0.021618006826141737,0.14703063227144791
D-TRX_USDT,Naive Method,0.3073126165320074,0.15033571992429676,0.3877315049416242
D-bitcoin,Naive Method,0.10976976559944518,0.01805873923804807,0.13438280856585813
D-eos,Naive Method,0.021435952850218015,0.001338597433364223,0.036586847819458604
D-neo,Naive Method,0.016793223569422457,0.0004181274843747675,0.020448165794876752
D-eth,Naive Method,0.03232543328211702,0.0014738869684868274,0.03839123556864024
D-link,Naive Method,0.6966571371712564,0.6492339056596207,0.8057505232139913
D-bnb,Naive Method,0.11336232712282064,0.016692324195474034,0.12919877784048128
D-ADA_USDT,Naive Method,0.21913667569112724,0.06775439922554631,0.26029675223779936
D-xrp,Naive Method,0.10351954995565357,0.026669953056364264,0.16330937834785933
D-XLM_USDT,Naive Method,0.23790151554337144,0.1922982316505866,0.4385182227121087
