DATA_SET_NAME,MAE,MSE,RMSE
M-data_Bahamas,0.18176524986507145,0.04650975885128039,0.2156612131359749
M-data_British_Virgin_Island,0.20177772984683473,0.052788357865974266,0.2297571715224016
M-data_Bolivia,0.20504252680508503,0.05279090286008589,0.2297627098988996
M-data_Albania,0.07290483720358219,0.008069147493808373,0.08982843365999639
M-data_Baker_Island,0.049860786068804716,0.004040401355802235,0.06356415149911336
M-data_Algeria,0.19364921290422435,0.052617874925711815,0.22938586470336791
M-data_Andorra,0.06996746153450273,0.007155002424354402,0.0845872474097272
M-data_Azerbaijan,0.18478275566969565,0.048177729494325146,0.21949425845412254
M-data_Belgium,0.11191235128279753,0.01975662194444409,0.14055825107208786
M-data_Burma,0.21322527875314481,0.06092438180617056,0.24682864867387366
M-data_Afghanistan,0.0906172296788584,0.012990398373376299,0.11397542881418038
M-data_Cameroon,0.16414051940578644,0.03958321912745979,0.19895531942488945
M-data_Armenia,0.12586296009949582,0.02459441442698491,0.15682606424630094
M-data_Costa_Rica,0.08049666057978706,0.010147795604386767,0.10073626757224415
M-data_Benin,0.18795993138962455,0.048374583971281464,0.21994222871309063
M-data_Bosnia_H,0.029887495118031914,0.0014781508409743979,0.0384467273116243
M-data_Botswana,0.20614459455759876,0.05539105372798691,0.23535304061767912
M-data_Antigua_Barbada,0.07837686975003175,0.009411440175212978,0.09701257740732888
M-data_Colombia,0.1565758218510646,0.036218791329007585,0.1903123520137555
