DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Prophet Method,0.3180589090305937,0.19664966341378567,0.44345198546605435
D-ltc,Prophet Method,0.07434831940700815,0.00894611946210826,0.09458392813849645
D-ETC_USDT,Prophet Method,0.2049854863968129,0.06625718790485041,0.2574047161666826
D-TRX_USDT,Prophet Method,0.6508026307157697,0.5826718174845439,0.7633294292011438
D-bitcoin,Prophet Method,0.7212862809275109,0.6212685179832348,0.7882058855294312
D-eos,Prophet Method,0.40487901709986757,0.2021709300228365,0.44963421802931824
D-neo,Prophet Method,0.05283732790051234,0.00454676882755529,0.06742973251878796
D-eth,Prophet Method,0.3280635276198533,0.1429556391134827,0.3780947488573237
D-link,Prophet Method,0.4148058977857904,0.31159103639813474,0.5582034005612423
D-bnb,Prophet Method,0.14846341711991698,0.03245866961804758,0.18016289745129985
D-ADA_USDT,Prophet Method,0.16780627415378233,0.04211467701344586,0.20521860786353135
D-xrp,Prophet Method,0.10052016889275689,0.021537490764385842,0.14675656974863457
D-XLM_USDT,Prophet Method,0.3789650288268198,0.3188324391791482,0.5646524941759739
