DATA_SET_NAME,Method,MAE,MSE,RMSE
M-data_Bahamas,Naive Method,0.31648229615468976,0.16128287621040174,0.4016003936880562
M-data_British_Virgin_Island,Naive Method,0.20898919244260303,0.06068846705471566,0.24635029339279396
M-data_Bolivia,Naive Method,0.19683763460725007,0.052347157124890714,0.22879501114510936
M-data_Albania,Naive Method,0.43788852596330874,0.2691729073523708,0.5188187615655112
M-data_Baker_Island,Naive Method,0.04018071088280242,0.002813404514041492,0.05304153574361787
M-data_Algeria,Naive Method,0.32053764697135984,0.1523146857064441,0.3902751410305864
M-data_Andorra,Naive Method,0.23604340946227173,0.08200121762210519,0.28635854731805227
M-data_Azerbaijan,Naive Method,0.25933763725762105,0.09226419418563181,0.30375021676639474
M-data_Belgium,Naive Method,0.2475194299206545,0.09409716671880827,0.30675261485243815
M-data_Burma,Naive Method,0.21257554077992963,0.08038399723122522,0.2835207174638658
M-data_Afghanistan,Naive Method,0.4259777262935414,0.25559549979364293,0.5055645357356892
M-data_Cameroon,Naive Method,0.16500166129813884,0.04675637585864634,0.21623222668845257
M-data_Armenia,Naive Method,0.249129238038633,0.08008924611183633,0.2830004348262319
M-data_Costa_Rica,Naive Method,0.12510507717310929,0.023317260094079608,0.15269990207619522
M-data_Benin,Naive Method,0.23089189632060642,0.09175908359260788,0.30291761849157584
M-data_Bosnia_H,Naive Method,0.12494150956155442,0.02359399949152482,0.1536033837242032
M-data_Botswana,Naive Method,0.49321658566381044,0.30768814189659416,0.5546964412150074
M-data_Antigua_Barbada,Naive Method,0.22776123945823665,0.06492270537647596,0.25479934335958554
M-data_Colombia,Naive Method,0.1565758218510646,0.036218791329007585,0.1903123520137555
